business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
Real Estate,Affluent,Bambalapitiya,312925,Product Launch,Retail & Premises Signage,Window Display,Visual,Colombo,43094,Affluent,31900,0.0261,1.45,0.0843,19,269831,0.9186,0.9386,0.6219,0.740242,0.6668
Automotive,25-34,Kalutara Town,99522,Event Promotion,Outdoor Static Structure,Street Pole Banner,Digital,Kalutara,114350,25-34,14211,0.0249,1.47,0.0706,26,-14828,0.7816,0.3481,0.6538,0.124276,0.5743
Hospitality,18-24,Aluthgama,434504,Product Launch,Outdoor Static Structure,Highway Billboard,Digital,Kalutara,116435,18-24,20639,0.012,0.64,0.0431,10,318069,0.7564,0.5013,0.8854,0.177258,0.5235
Luxury Goods,55+,Horana,250237,Sales Conversion,Outdoor Static Structure,City Center Billboard,Outdoor,Kalutara,125317,55+,15372,0.0159,0.8,0.0404,44,124920,0.8781,0.3285,0.6435,0.122665,0.5179
Food & Beverage,55+,Battaramulla,298414,Brand Awareness,Social Media Placement,Instagram Story,Digital,Colombo,72177,55+,524747,0.0234,0.62,0.035,17,226237,0.7279,0.9329,0.6534,7.27028,0.7569
Retail,35-44,Dehiwala,149312,Customer Retention,TV Spot,Prime Time,Audio,Colombo,167176,35-44,111948,0.0293,1.07,0.0588,39,-17864,0.7708,0.7986,0.8026,0.669642,0.5973
Healthcare,Students,Pettah,342918,Lead Generation,TV Spot,Prime Time,Audio,Colombo,184651,Students,209467,0.0261,0.34,0.0319,28,158267,0.9704,0.9466,0.8178,1.134394,0.806
Hospitality,35-44,Wattala,191636,Customer Retention,Cinema Advertising,Pre-show Ad,Cinema,Gampaha,156058,35-44,24612,0.0188,0.89,0.0431,16,35578,1.0,0.788,0.8349,0.157711,0.7524
FMCG,Young Professionals,Mathugama,78571,Event Promotion,Radio Spot,Weekend Slot,Audio,Kalutara,39837,Young Professionals,30037,0.0291,0.65,0.0676,7,38734,0.7944,0.4178,0.9481,0.753998,0.5409
Luxury Goods,35-44,Nugegoda,136831,Website Traffic,Radio Spot,Evening Drive,Audio,Colombo,51331,35-44,164817,0.0127,0.84,0.0553,51,85500,0.7587,0.9441,0.8081,3.210867,0.6809
Food & Beverage,Families,Ingiriya,99739,Website Traffic,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Kalutara,225374,Families,49769,0.033,1.28,0.0409,52,-125635,1.0,0.4875,0.6867,0.220828,0.5983
Healthcare,45-54,Gampaha Town,232633,Customer Retention,Social Media Placement,Facebook Feed,Digital,Gampaha,94511,45-54,308043,0.0253,0.58,0.038,40,138122,0.7966,0.5397,0.8022,3.259335,0.719
Retail,18-24,Maradana,243594,Customer Retention,Newsletter Ad,Special Edition,Print,Colombo,11521,18-24,47968,0.0278,0.54,0.041,48,232073,0.905,0.8824,0.7865,4.163527,0.6302
Real Estate,45-54,Kandana,103446,App Downloads,Radio Spot,Prime Time Slot,Audio,Gampaha,79915,45-54,279354,0.0224,0.91,0.0489,17,23531,0.9876,0.6195,0.7418,3.495639,0.5364
Hospitality,35-44,Kandana,113580,Website Traffic,Print Publication Ad,Newspaper Half Page,Digital,Gampaha,59465,35-44,64437,0.0177,1.31,0.0555,20,54115,0.9011,0.687,0.6602,1.083612,0.5494
Telecommunications,18-24,Pettah,280218,Sales Conversion,Outdoor Static Structure,Highway Billboard,Digital,Colombo,148873,18-24,22448,0.0166,0.58,0.0352,15,131345,0.9192,0.9162,0.5281,0.150786,0.7595
Financial Services,18-24,Kadawatha,199923,Customer Retention,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Gampaha,106670,18-24,32520,0.0291,0.47,0.034,15,93253,0.7918,0.5419,0.9007,0.304865,0.764
Hospitality,45-54,Katunayake,157891,App Downloads,TV Spot,Sports Program,Audio,Gampaha,216105,45-54,122448,0.0186,1.08,0.0396,33,-58214,0.9528,0.583,0.5458,0.566613,0.5686
Telecommunications,Young Professionals,Bambalapitiya,84674,Customer Retention,Digital Out-of-Home Screen,Train Station Screen,Digital,Colombo,96979,Young Professionals,26716,0.0468,0.98,0.0599,43,-12305,0.9332,0.8605,0.7145,0.275482,0.6612
Retail,18-24,Pettah,71209,Event Promotion,Cinema Advertising,Tickets Ad,Cinema,Colombo,192417,18-24,24284,0.0184,0.59,0.0351,10,-121208,1.0,0.8647,0.5908,0.126205,0.4201
Healthcare,45-54,Kollupitiya,404091,Brand Awareness,Radio Spot,Weekend Slot,Audio,Colombo,68278,45-54,529780,0.0186,1.21,0.0458,56,335813,0.9311,0.9165,0.5216,7.759161,0.7283
Healthcare,55+,Pettah,638744,Product Launch,TV Spot,Weekend,Audio,Colombo,348386,55+,392268,0.0235,1.04,0.0449,40,290358,0.9208,0.8316,0.7599,1.125958,0.8897
Real Estate,35-44,Dehiwala,185712,Sales Conversion,Vehicle Wrap Media,Three-Wheeler Wrap,Visual,Colombo,129437,35-44,135251,0.0304,1.63,0.0657,38,56275,0.9904,0.7935,0.6118,1.044918,0.84
Travel & Tourism,35-44,Mount Lavinia,100611,App Downloads,Social Media Placement,Facebook Feed,Digital,Colombo,51710,35-44,521198,0.0302,1.29,0.055,43,48901,0.9913,0.7755,0.6556,10.07925,0.8521
Real Estate,Families,Mahabage,113920,App Downloads,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Gampaha,282806,Families,16572,0.0359,1.1,0.0697,35,-168886,1.0,0.7017,0.773,0.058598,0.774
Telecommunications,Young Professionals,Wattala,740904,Product Launch,Event Sponsorship,Exhibition Booth,Event,Gampaha,359225,Young Professionals,11369,0.041,0.53,0.0534,54,381679,0.9116,0.7113,0.5514,0.031649,0.6032
Financial Services,Families,Horana,207230,Lead Generation,Print Publication Ad,Magazine Spread,Print,Kalutara,17779,Families,8220,0.0158,0.79,0.0636,13,189451,0.9345,0.5061,0.939,0.462343,0.8545
Financial Services,35-44,Dehiwala,223974,Brand Awareness,Social Media Placement,TikTok Feed,Digital,Colombo,24815,35-44,579008,0.0292,1.03,0.0551,25,199159,1.0,0.8322,0.6803,23.332984,0.513
Travel & Tourism,35-44,Pettah,191378,App Downloads,Web Display Inventory,Video Ad,Digital,Colombo,88275,35-44,500329,0.0282,0.47,0.071,16,103103,0.8089,0.8785,0.6527,5.667845,0.7116
Real Estate,All Ages,Beruwala,170639,Customer Retention,Web Display Inventory,Sidebar Ad,Digital,Kalutara,78078,All Ages,40855,0.0165,0.85,0.0432,29,92561,1.0,0.5816,0.9098,0.523259,0.757
E-commerce,25-34,Nugegoda,197573,Sales Conversion,Native / Sponsored Content,Featured Content,Digital,Colombo,49389,25-34,223115,0.0525,1.02,0.0615,30,148184,0.9334,0.7546,0.7182,4.517504,0.8811
Education,Students,Pettah,216986,Customer Retention,Radio Spot,Prime Time Slot,Audio,Colombo,97566,Students,441924,0.0214,0.53,0.0324,28,119420,0.9351,0.8492,0.8241,4.529488,0.6355
Education,45-54,Bulathsinhala,199353,Sales Conversion,Outdoor Static Structure,Street Pole Banner,Outdoor,Kalutara,116983,45-54,13918,0.0189,1.2,0.0469,21,82370,0.9277,0.3273,0.8767,0.118975,0.7137
Financial Services,25-34,Bandaragama,192653,App Downloads,Radio Spot,Evening Drive,Audio,Kalutara,35628,25-34,27662,0.0269,0.96,0.0502,25,157025,1.0,0.3426,0.5338,0.776412,0.5557
Real Estate,18-24,Kadawatha,201412,Lead Generation,Radio Spot,Prime Time Slot,Audio,Gampaha,73180,18-24,215872,0.019,0.45,0.0312,27,128232,0.8774,0.6897,0.8928,2.949877,0.7221
Fashion,18-24,Ingiriya,150908,App Downloads,Native / Sponsored Content,Article Sponsorship,Digital,Kalutara,26164,18-24,66151,0.0326,0.53,0.0357,45,124744,0.896,0.6448,0.88,2.528321,0.7368
FMCG,25-34,Battaramulla,57601,Website Traffic,Retail & Premises Signage,In-Store Digital,Outdoor,Colombo,67334,25-34,19215,0.0378,1.04,0.078,40,-9733,0.9836,0.8561,0.6921,0.285368,0.6735
Travel & Tourism,Families,Bambalapitiya,380378,Product Launch,Print Publication Ad,Magazine Spread,Digital,Colombo,18167,Families,56386,0.0228,0.8,0.0496,4,362211,1.0,0.9197,0.5015,3.10376,0.5119
Healthcare,Families,Divulapitiya,210906,Brand Awareness,Print Publication Ad,Magazine Spread,Digital,Gampaha,20828,Families,205365,0.0142,1.15,0.0496,39,190078,1.0,0.8462,0.8345,9.860044,0.7254
Telecommunications,35-44,Bulathsinhala,87909,Lead Generation,Social Media Placement,TikTok Feed,Digital,Kalutara,27796,35-44,180365,0.0297,0.94,0.0585,25,60113,0.8668,0.6263,0.601,6.488883,0.6578
Healthcare,35-44,Bulathsinhala,200793,Lead Generation,Retail & Premises Signage,Storefront Display,Outdoor,Kalutara,26295,35-44,11345,0.0264,0.82,0.0513,4,174498,0.9602,0.513,0.933,0.431451,0.7027
E-commerce,25-34,Wellawatte,97887,Website Traffic,Event Sponsorship,Exhibition Booth,Event,Colombo,312279,25-34,44948,0.0419,0.85,0.0604,11,-214392,0.8072,0.9645,0.9326,0.143935,0.7113
Healthcare,18-24,Panadura,231740,Customer Retention,Print Publication Ad,Magazine Spread,Digital,Kalutara,82828,18-24,48375,0.012,0.49,0.036,40,148912,0.765,0.516,0.8509,0.584042,0.607
FMCG,All Ages,Mount Lavinia,200739,Customer Retention,Newsletter Ad,Monthly Newsletter,Print,Colombo,20274,All Ages,9582,0.0486,0.83,0.0423,16,180465,0.952,0.9615,0.9381,0.472625,0.8181
Hospitality,18-24,Negombo,380167,Product Launch,Cinema Advertising,Tickets Ad,Cinema,Gampaha,124662,18-24,54337,0.0158,0.43,0.0261,28,255505,0.6801,0.5573,0.8577,0.435875,0.4983
Food & Beverage,18-24,Nugegoda,485294,Brand Awareness,Outdoor Static Structure,Building Wrap,Digital,Colombo,206237,18-24,111132,0.0101,0.62,0.032,27,279057,0.9354,0.9145,0.7532,0.538856,0.6543
Automotive,25-34,Battaramulla,136465,Brand Awareness,Print Publication Ad,Newspaper Half Page,Digital,Colombo,68398,25-34,49447,0.0192,1.13,0.0669,28,68067,0.895,0.7376,0.8085,0.72293,0.5708
Real Estate,25-34,Gampaha Town,296087,Sales Conversion,Newsletter Ad,Industry Digest,Print,Gampaha,4721,25-34,15070,0.0717,1.21,0.0602,29,291366,0.8033,0.5847,0.944,3.19212,0.7801
Real Estate,18-24,Colombo Fort,142948,Website Traffic,Digital Out-of-Home Screen,Train Station Screen,Digital,Colombo,90943,18-24,43533,0.0275,0.45,0.0297,39,52005,0.9623,0.76,0.5754,0.478684,0.644
Financial Services,55+,Bandaragama,126607,App Downloads,Radio Spot,Prime Time Slot,Audio,Kalutara,88367,55+,143159,0.0155,1.1,0.0478,28,38240,0.9851,0.4924,0.5183,1.62005,0.6242
Financial Services,Young Professionals,Pettah,57122,Event Promotion,Digital Out-of-Home Screen,Airport Digital Display,Digital,Colombo,186394,Young Professionals,225585,0.0436,0.86,0.0549,14,-129272,0.6503,0.848,0.5367,1.210259,0.4281
Telecommunications,55+,Ja-Ela,586301,Product Launch,Print Publication Ad,Newspaper Full Page,Print,Gampaha,38146,55+,75991,0.0106,0.89,0.0495,59,548155,0.8417,0.7122,0.769,1.992109,0.6145
Technology,35-44,Panadura,121830,Customer Retention,TV Spot,Daytime,Audio,Kalutara,223675,35-44,267927,0.0297,0.96,0.0629,31,-101845,0.9129,0.4781,0.7317,1.197841,0.6632
E-commerce,35-44,Bandaragama,214184,Sales Conversion,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Kalutara,123988,35-44,27419,0.0326,1.0,0.0532,25,90196,1.0,0.3583,0.7022,0.221142,0.604
Luxury Goods,18-24,Gampaha Town,83523,Customer Retention,Web Display Inventory,Video Ad,Digital,Gampaha,42811,18-24,209431,0.0207,0.46,0.0407,25,40712,0.9044,0.8453,0.5553,4.89199,0.5008
Food & Beverage,35-44,Battaramulla,187641,Customer Retention,Digital Out-of-Home Screen,Airport Digital Display,Outdoor,Colombo,255781,35-44,17755,0.0396,1.01,0.0641,37,-68140,1.0,0.7419,0.5135,0.069415,0.6077
Real Estate,55+,Wattala,126795,Lead Generation,Retail & Premises Signage,In-Store Digital,Visual,Gampaha,173372,55+,26276,0.0143,0.79,0.0409,35,-46577,0.8808,0.6997,0.5137,0.151558,0.5459
Telecommunications,45-54,Panadura,550182,Product Launch,Native / Sponsored Content,Featured Content,Digital,Kalutara,128023,45-54,12905,0.0311,0.95,0.0525,34,422159,1.0,0.4617,0.6472,0.100802,0.6925
Automotive,All Ages,Katunayake,109693,App Downloads,Native / Sponsored Content,Review Sponsorship,Digital,Gampaha,39695,All Ages,95074,0.0432,1.21,0.0588,36,69998,1.0,0.691,0.7,2.395113,0.7304
Food & Beverage,45-54,Wattala,668000,Product Launch,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Gampaha,270917,45-54,118615,0.0212,0.35,0.0513,24,397083,1.0,0.6824,0.8701,0.437828,0.7654
Hospitality,25-34,Mathugama,145018,Sales Conversion,Print Publication Ad,Classified,Digital,Kalutara,33384,25-34,77054,0.014,1.01,0.0701,21,111634,0.9163,0.5871,0.68,2.308112,0.5456
FMCG,25-34,Kollupitiya,125208,Website Traffic,Social Media Placement,TikTok Feed,Digital,Colombo,97766,25-34,341184,0.0376,0.99,0.0783,41,27442,1.0,0.9653,0.6026,3.489802,0.7393
Travel & Tourism,35-44,Pettah,322506,Lead Generation,Digital Out-of-Home Screen,Mall Digital Screen,Digital,Colombo,153786,35-44,220844,0.0315,1.19,0.0693,36,168720,0.8372,0.7459,0.6059,1.436047,0.6629
Financial Services,25-34,Maradana,106555,Website Traffic,Newsletter Ad,Industry Digest,Print,Colombo,19104,25-34,58845,0.052,0.62,0.0575,15,87451,0.9569,0.7822,0.5357,3.080245,0.8136
Real Estate,35-44,Mount Lavinia,190662,Brand Awareness,Outdoor Static Structure,Highway Billboard,Digital,Colombo,124973,35-44,20774,0.0262,1.25,0.0479,21,65689,1.0,0.8371,0.5856,0.166228,0.6845
Hospitality,18-24,Nugegoda,99657,Website Traffic,Vehicle Wrap Media,Car Wrap,Visual,Colombo,62197,18-24,119849,0.0248,0.47,0.0276,28,37460,1.0,0.9386,0.9172,1.926926,0.6195
Healthcare,45-54,Maradana,187590,Event Promotion,Retail & Premises Signage,Counter Display,Outdoor,Colombo,84062,45-54,34206,0.0207,1.1,0.0522,25,103528,0.9092,0.8025,0.6714,0.406914,0.578
Technology,25-34,Wellawatte,178467,Event Promotion,Newsletter Ad,Special Edition,Digital,Colombo,24413,25-34,126600,0.0443,0.85,0.0695,60,154054,0.9267,0.937,0.6371,5.185762,0.7554
E-commerce,Affluent,Pettah,136524,Sales Conversion,Outdoor Static Structure,Street Pole Banner,Outdoor,Colombo,138176,Affluent,54878,0.0279,1.36,0.0632,18,-1652,0.8695,0.8103,0.5307,0.39716,0.6326
Telecommunications,18-24,Wellawatte,104716,Event Promotion,Cinema Advertising,Tickets Ad,Cinema,Colombo,47559,18-24,15764,0.0107,0.62,0.0416,5,57157,0.8921,0.9263,0.7788,0.331462,0.5322
Automotive,18-24,Colombo Fort,81556,Event Promotion,Retail & Premises Signage,Window Display,Outdoor,Colombo,54615,18-24,27794,0.0236,0.59,0.0216,10,26941,0.9989,0.7584,0.6655,0.508908,0.7362
E-commerce,18-24,Nugegoda,146268,Customer Retention,Radio Spot,Midday Slot,Audio,Colombo,80034,18-24,136720,0.0113,0.48,0.036,11,66234,0.704,0.9533,0.5441,1.708274,0.7215
Fashion,35-44,Mount Lavinia,205904,Lead Generation,Newsletter Ad,Promotional Email,Digital,Colombo,46921,35-44,28028,0.043,0.85,0.0626,52,158983,0.9333,0.7759,0.8515,0.597344,0.7461
Financial Services,18-24,Kalutara Town,135895,Website Traffic,Vehicle Wrap Media,Bus Wrap,Outdoor,Kalutara,92381,18-24,6722,0.0292,0.19,0.038,27,43514,0.7923,0.5198,0.8737,0.072764,0.4451
Luxury Goods,All Ages,Kollupitiya,182813,Event Promotion,Outdoor Static Structure,City Center Billboard,Digital,Colombo,116700,All Ages,26679,0.018,0.91,0.06,28,66113,1.0,0.9905,0.8594,0.228612,0.8543
Technology,45-54,Maradana,57729,App Downloads,TV Spot,Weekend,Audio,Colombo,221223,45-54,498646,0.0318,0.83,0.0417,41,-163494,0.8159,0.9448,0.8876,2.254042,0.7093
Healthcare,Affluent,Katunayake,282638,Product Launch,Social Media Placement,Facebook Feed,Digital,Gampaha,72944,Affluent,121979,0.0302,1.29,0.0882,8,209694,0.9273,0.8378,0.7198,1.672228,0.7001
Food & Beverage,25-34,Minuwangoda,56948,App Downloads,Print Publication Ad,Classified,Print,Gampaha,33015,25-34,88720,0.0137,1.28,0.0627,41,23933,0.8645,0.5679,0.8959,2.687263,0.6934
Luxury Goods,25-34,Divulapitiya,173197,Customer Retention,Native / Sponsored Content,Article Sponsorship,Digital,Gampaha,71668,25-34,123012,0.0641,1.04,0.068,6,101529,0.9798,0.7374,0.8403,1.716415,0.7858
Hospitality,25-34,Pettah,162667,Event Promotion,Newsletter Ad,Monthly Newsletter,Digital,Colombo,26764,25-34,60098,0.0334,0.83,0.0773,59,135903,0.9126,0.8684,0.7523,2.245479,0.6599
Food & Beverage,35-44,Kandana,43669,App Downloads,Web Display Inventory,Sidebar Ad,Digital,Gampaha,16458,35-44,210020,0.0239,1.42,0.0608,21,27211,0.8614,0.6519,0.5399,12.760967,0.6531
Education,45-54,Ja-Ela,254088,Product Launch,Radio Spot,Evening Drive,Audio,Gampaha,68579,45-54,70623,0.0221,1.14,0.0477,13,185509,0.9011,0.6171,0.5118,1.029805,0.5384
Travel & Tourism,25-34,Mahabage,285169,Sales Conversion,Outdoor Static Structure,Street Pole Banner,Digital,Gampaha,170900,25-34,58594,0.0259,0.27,0.0536,11,114269,0.8622,0.6738,0.6966,0.342855,0.6836
FMCG,Affluent,Kollupitiya,141682,Event Promotion,Digital Out-of-Home Screen,Train Station Screen,Digital,Colombo,98089,Affluent,90261,0.0346,1.13,0.0613,19,43593,0.8696,0.933,0.5294,0.920195,0.792
Entertainment,35-44,Minuwangoda,238368,Brand Awareness,Newsletter Ad,Special Edition,Digital,Gampaha,9938,35-44,42286,0.0362,0.94,0.0704,39,228430,1.0,0.8428,0.5652,4.254981,0.6457
Fashion,18-24,Aluthgama,173206,Brand Awareness,Vehicle Wrap Media,Car Wrap,Outdoor,Kalutara,55714,18-24,14888,0.025,0.36,0.041,44,117492,0.8704,0.5831,0.7446,0.267222,0.6258
Healthcare,25-34,Pettah,257651,Lead Generation,Outdoor Static Structure,City Center Billboard,Outdoor,Colombo,120822,25-34,50225,0.019,0.79,0.0652,33,136829,0.8941,0.9359,0.5906,0.415694,0.602
Real Estate,25-34,Maradana,545777,Product Launch,Vehicle Wrap Media,Van Wrap,Visual,Colombo,126356,25-34,128840,0.0492,0.9,0.0847,14,419421,1.0,0.8116,0.7033,1.019659,0.7212
Entertainment,18-24,Maradana,52406,Website Traffic,Vehicle Wrap Media,Car Wrap,Outdoor,Colombo,109941,18-24,58701,0.0266,0.58,0.0354,15,-57535,0.9656,0.795,0.8857,0.533932,0.6254
Financial Services,55+,Gampaha Town,73643,Website Traffic,Cinema Advertising,Pre-show Ad,Cinema,Gampaha,130307,55+,49686,0.0141,0.71,0.0485,55,-56664,0.9649,0.5581,0.8969,0.3813,0.712
Retail,Young Professionals,Gampaha Town,152290,Event Promotion,Print Publication Ad,Newspaper Half Page,Print,Gampaha,47573,Young Professionals,92407,0.0156,0.79,0.0626,53,104717,0.9232,0.6099,0.6144,1.942425,0.6213
Telecommunications,25-34,Bulathsinhala,195949,Brand Awareness,Newsletter Ad,Industry Digest,Digital,Kalutara,38932,25-34,12246,0.037,1.34,0.0846,47,157017,0.8523,0.3124,0.8327,0.314548,0.7255
FMCG,55+,Colombo Fort,66741,App Downloads,Outdoor Static Structure,Transit Shelter,Digital,Colombo,198500,55+,92403,0.0102,0.74,0.0284,16,-131759,0.868,0.9614,0.8447,0.465506,0.6514
Financial Services,35-44,Wattala,77747,Sales Conversion,Retail & Premises Signage,Storefront Display,Visual,Gampaha,74664,35-44,13309,0.0262,1.01,0.0509,8,3083,0.9094,0.8382,0.5574,0.178252,0.6207
Food & Beverage,Students,Bulathsinhala,435784,Brand Awareness,Radio Spot,Evening Drive,Audio,Kalutara,40615,Students,191263,0.0209,0.34,0.0315,27,395169,0.9151,0.305,0.7109,4.709171,0.64
Hospitality,Young Professionals,Divulapitiya,275723,Sales Conversion,Retail & Premises Signage,Window Display,Visual,Gampaha,60271,Young Professionals,12139,0.0406,0.76,0.061,8,215452,0.8853,0.7306,0.6135,0.201407,0.7852
Automotive,Young Professionals,Kadawatha,169587,Product Launch,Retail & Premises Signage,Counter Display,Outdoor,Gampaha,118471,Young Professionals,11304,0.05,0.48,0.0541,50,51116,0.873,0.6552,0.7732,0.095416,0.7648
Fashion,All Ages,Kandana,69811,Event Promotion,Radio Spot,Weekend Slot,Audio,Gampaha,94139,All Ages,326773,0.0259,1.26,0.0546,8,-24328,0.9258,0.6654,0.5205,3.471176,0.4919
Travel & Tourism,25-34,Horana,439224,Product Launch,Digital Out-of-Home Screen,Train Station Screen,Digital,Kalutara,241151,25-34,52497,0.0361,1.03,0.0679,5,198073,0.7559,0.3874,0.6786,0.217693,0.5639
Financial Services,35-44,Dehiwala,179875,App Downloads,Social Media Placement,TikTok Feed,Digital,Colombo,60126,35-44,597008,0.0306,1.19,0.0499,38,119749,1.0,0.789,0.8233,9.929282,0.6602
Entertainment,25-34,Bambalapitiya,60227,Customer Retention,Cinema Advertising,Concession Ad,Cinema,Colombo,48246,25-34,95031,0.0268,1.22,0.0707,12,11981,1.0,0.9701,0.6819,1.969718,0.802
Food & Beverage,45-54,Kandana,199673,Sales Conversion,Print Publication Ad,Classified,Print,Gampaha,48804,45-54,64968,0.0145,0.89,0.0548,8,150869,0.9467,0.6033,0.7187,1.331202,0.6304
Telecommunications,35-44,Bandaragama,186420,Brand Awareness,Web Display Inventory,Sidebar Ad,Digital,Kalutara,59592,35-44,87648,0.0322,1.28,0.0493,17,126828,1.0,0.6194,0.8701,1.470801,0.6011
Education,45-54,Battaramulla,96805,Event Promotion,Web Display Inventory,Sidebar Ad,Digital,Colombo,19425,45-54,248612,0.0182,0.89,0.0468,32,77380,0.8938,0.8229,0.64,12.798559,0.6281
Luxury Goods,45-54,Ja-Ela,128637,Event Promotion,Native / Sponsored Content,Sponsored Video,Digital,Gampaha,36889,45-54,31664,0.0341,0.85,0.0491,21,91748,0.8049,0.6096,0.5662,0.858359,0.5192
Healthcare,45-54,Bulathsinhala,272100,Sales Conversion,Social Media Placement,TikTok Feed,Digital,Kalutara,98108,45-54,80902,0.0264,0.53,0.0534,19,173992,0.9683,0.5167,0.8429,0.824622,0.5723
E-commerce,25-34,Nugegoda,115081,Website Traffic,Social Media Placement,Twitter/X Feed,Digital,Colombo,31012,25-34,396793,0.0414,0.69,0.0633,7,84069,0.8714,0.9982,0.8961,12.794821,0.8384
Real Estate,55+,Wattala,174934,Event Promotion,Native / Sponsored Content,Sponsored Video,Digital,Gampaha,55340,55+,137886,0.0257,0.92,0.0428,11,119594,0.8138,0.778,0.6241,2.491615,0.6622
Food & Beverage,18-24,Beruwala,178225,Sales Conversion,Social Media Placement,LinkedIn Feed,Digital,Kalutara,64890,18-24,80371,0.0301,0.39,0.0384,8,113335,1.0,0.5309,0.8895,1.238573,0.6737
Food & Beverage,18-24,Kalutara Town,149534,Website Traffic,Social Media Placement,LinkedIn Feed,Digital,Kalutara,72390,18-24,82933,0.0202,0.59,0.0293,57,77144,1.0,0.5578,0.8689,1.145642,0.6998
Telecommunications,25-34,Mahabage,198487,App Downloads,Vehicle Wrap Media,Car Wrap,Visual,Gampaha,205259,25-34,71150,0.0397,0.82,0.0691,53,-6772,0.9708,0.7961,0.7761,0.346635,0.6854
Entertainment,45-54,Battaramulla,187282,Sales Conversion,Outdoor Static Structure,Building Wrap,Digital,Colombo,44178,45-54,24333,0.0194,0.85,0.0559,5,143104,1.0,0.7633,0.8885,0.550795,0.823
Healthcare,45-54,Nugegoda,76164,App Downloads,Print Publication Ad,Newspaper Half Page,Digital,Colombo,16772,45-54,299746,0.0098,0.69,0.0545,61,59392,0.9314,0.8664,0.7867,17.87181,0.4548
